"count" "trt" "gene" "sample"
21.4774075349961 "territorial" "LOC115139403" "C01"
34.0883823311869 "territorial" "LOC115139403" "C02"
14.602318416138 "territorial" "LOC115139403" "C03"
12.4513798767577 "territorial" "LOC115139403" "C04"
25.1388966148207 "territorial" "LOC115139403" "C06"
17.9338159224801 "territorial" "LOC115139403" "C07"
7.9448264902328 "territorial" "LOC115139403" "C08"
707.067268503794 "territorial" "LOC115139403" "C09"
252.88688506639 "territorial" "LOC115139403" "C10"
17.0510913236162 "territorial" "LOC115139403" "C11"
473.218442870136 "territorial" "LOC115139403" "C12"
14.5529420178734 "territorial" "LOC115139403" "C13"
12.5498150997091 "territorial" "LOC115139403" "C14"
12.6158524702152 "territorial" "LOC115139403" "C15"
28.5200082810959 "social" "LOC115139403" "C16"
15.6344595937974 "social" "LOC115139403" "C18"
17.1526835805392 "social" "LOC115139403" "C19"
14.0546259234404 "social" "LOC115139403" "C20"
13.6038149201987 "social" "LOC115139403" "C21"
14.3050806382423 "social" "LOC115139403" "C22"
11.8220739270486 "social" "LOC115139403" "C23"
18.4653058544967 "social" "LOC115139403" "C24"
10.2019762139734 "social" "LOC115139403" "C25"
23.1483551101869 "social" "LOC115139403" "C26"
11.715457564343 "social" "LOC115139403" "C27"
11.6905975717681 "social" "LOC115139403" "C28"
9.74674697343861 "social" "LOC115139403" "C29"
13.7295927915127 "social" "LOC115139403" "C30"
0.5 "territorial" "LOC115111009" "C01"
5.03897058529553 "territorial" "LOC115111009" "C02"
9.56577612466014 "territorial" "LOC115111009" "C03"
2.49189664612628 "territorial" "LOC115111009" "C04"
2.96388966148207 "territorial" "LOC115111009" "C06"
8.54637657960622 "territorial" "LOC115111009" "C07"
0.5 "territorial" "LOC115111009" "C08"
385.78396344138 "territorial" "LOC115111009" "C09"
297.42574713693 "territorial" "LOC115111009" "C10"
4.31948261314221 "territorial" "LOC115111009" "C11"
311.996573933374 "territorial" "LOC115111009" "C12"
1.90529420178734 "territorial" "LOC115111009" "C13"
0.5 "territorial" "LOC115111009" "C14"
2.36397730311004 "territorial" "LOC115111009" "C15"
11.1282790031743 "social" "LOC115111009" "C16"
0.5 "social" "LOC115111009" "C18"
0.5 "social" "LOC115111009" "C19"
1.34716412021503 "social" "LOC115111009" "C20"
4.63804681690486 "social" "LOC115111009" "C21"
8.78304838294539 "social" "LOC115111009" "C22"
0.5 "social" "LOC115111009" "C23"
7.68612234179868 "social" "LOC115111009" "C24"
0.5 "social" "LOC115111009" "C25"
0.5 "social" "LOC115111009" "C26"
4.23848585478101 "social" "LOC115111009" "C27"
5.66489118696991 "social" "LOC115111009" "C28"
2.34934939468772 "social" "LOC115111009" "C29"
3.14591855830253 "social" "LOC115111009" "C30"
2.11364673346124 "territorial" "LOC115142739" "C01"
4.13117646823642 "territorial" "LOC115142739" "C02"
2.51461691659114 "territorial" "LOC115142739" "C03"
152.88009342866 "territorial" "LOC115142739" "C04"
11.5875034766693 "territorial" "LOC115142739" "C06"
3.18212552653541 "territorial" "LOC115142739" "C07"
1.4306033112791 "territorial" "LOC115142739" "C08"
3.06002633515867 "territorial" "LOC115142739" "C09"
1.28138354509718 "territorial" "LOC115142739" "C10"
6.86580435523702 "territorial" "LOC115142739" "C11"
1.49519672183187 "territorial" "LOC115142739" "C12"
2.60794130268101 "territorial" "LOC115142739" "C13"
4.2076354152951 "territorial" "LOC115142739" "C14"
2.36397730311004 "territorial" "LOC115142739" "C15"
2.43241436421351 "social" "LOC115142739" "C16"
3.52689191875948 "social" "LOC115142739" "C18"
1366.02005360422 "social" "LOC115142739" "C19"
3.88865648086011 "social" "LOC115142739" "C20"
1.18967446948414 "social" "LOC115142739" "C21"
3.26101612764846 "social" "LOC115142739" "C22"
1.37092876361912 "social" "LOC115142739" "C23"
4.99132646362418 "social" "LOC115142739" "C24"
3.41059286419202 "social" "LOC115142739" "C25"
1.52947068682668 "social" "LOC115142739" "C26"
3.30386439108576 "social" "LOC115142739" "C27"
2.22163039565664 "social" "LOC115142739" "C28"
17.1441445521895 "social" "LOC115142739" "C29"
1.38197285276751 "social" "LOC115142739" "C30"
